idx1	idx2	sire	dam	sex	generation	k.grm	k.ped	ped.kin
22550.1	25	26	24375.1	23773.1	1	F39	0.07424677308	0.542857387012415	22547 22548 22549 22550 30021 30022 30026
29337.1	25	174	22549.1	22764.1	2	F40	0.05739309614	0.543446045604503	22549 22764 29337 29338 29340 35219 35220
29338.1	25	175	22549.1	22764.1	1	F40	0.07512179009	0.543446045604503	22549 22764 29337 29338 29340 31101 31102
29340.1	25	177	22549.1	22764.1	1	F40	0.05239143743	0.543446045604503	22549 22764 29337 29338 29340 31162 31164 31166
22549.11	26	25	24375.1	23773.1	1	F39	0.07424677308	0.542857387012415	22547 22548 22549 22550 29337 29338 29340
22550.11	26	26	24375.1	23773.1	1	F39	0.5005623142	0.694854895704473	22547 22548 22549 22550 30021 30022 30026
30022.1	26	197	22550.1	28010.1	1	F40	0.05514410953	0.54377104344617	22550 28010 30021 30022 30026 35522 35523 35526
30026.1	26	201	22550.1	28010.1	2	F40	0.06220701637	0.54377104344617	22550 28010 30021 30022 30026 35247 35248 35249
22551.1	27	27	24309.1	24018.1	2	F39	0.5125834259	0.699867977478432	22551 22554 30374 30375
22554.1	27	28	24309.1	24018.1	1	F39	0.06698390748	0.547404580729675	22551 22554 30612 30613 30614
22720.1	27	44	24038.1	24348.1	2	F39	0.05386343912	0.39489083913888	22719 22720 22721 22722
30375.1	27	255	25710.1	22551.1	1	F40	0.05775923133	0.548190092172267	22551 25710 30374 30375
22551.11	28	27	24309.1	24018.1	2	F39	0.06698390748	0.547404580729675	22551 22554 30374 30375
22554.11	28	28	24309.1	24018.1	1	F39	0.5373587041	0.699867977478432	22551 22554 30612 30613 30614
22720.11	28	44	24038.1	24348.1	2	F39	0.07131996964	0.39489083913888	22719 22720 22721 22722
30367.1	28	247	22553.1	28341.1	1	F40	0.05588816153	0.470225820029034	28341 30366 30367 30368 31173
30612.1	28	292	22554.1	25695.1	2	F40	0.0531687894	0.552274955704422	22554 25695 30612 30613 30614 31689 31690
30613.1	28	293	22554.1	25695.1	1	F40	0.05316504164	0.552274955704422	22554 25695 30612 30613 30614 31106 31107 31108
