"id" "sex" "generation" "sire" "dam"
4640 "M" "F5" 2401 2215
4688 "M" "F5" 2571 2639
4691 "F" "F5" 2571 2639
4715 "F" "F5" 2566 2409
4716 "M" "F5" 2566 2409
4717 "M" "F5" 2536 2698
4718 "F" "F5" 2536 2698
4719 "M" "F5" 2536 2698
4823 "M" "F5" 2393 2519
4826 "F" "F5" 2393 2519
4828 "M" "F5" 2407 2569
4831 "F" "F5" 2407 2569
4833 "F" "F5" 2407 2569
4887 "M" "F5" 2663 2613
4889 "F" "F5" 2663 2613
4900 "F" "F5" 2678 2679
4909 "M" "F5" 2678 2679
4914 "M" "F5" 2624 2718
4915 "F" "F5" 2624 2718
4917 "F" "F5" 2624 2718
4919 "M" "F5" 2700 2380
4921 "F" "F5" 2700 2380
4939 "M" "F5" 2759 2706
4940 "F" "F5" 2759 2706
4970 "M" "F5" 2287 2665
4974 "F" "F5" 2287 2665
4976 "M" "F5" 2287 2665
4987 "M" "F5" 2548 2628
4988 "F" "F5" 2548 2628
4998 "M" "F5" 2611 2625
5006 "M" "F5" 2631 2648
5007 "F" "F5" 2631 2648
5018 "F" "F5" 2644 2551
5041 "F" "F5" 2585 2695
5050 "M" "F5" 2585 2695
5056 "M" "F5" 2688 2391
5058 "M" "F5" 2688 2391
5060 "F" "F5" 2688 2391
5066 "M" "F5" 2527 2761
5070 "F" "F5" 2527 2761
5084 "M" "F5" 2711 2745
5088 "F" "F5" 2711 2745
5111 "F" "F5" 2653 2396
5113 "M" "F5" 2653 2396
5135 "F" "F5" 2593 2597
5136 "M" "F5" 2593 2597
5196 "M" "F5" 2972 2986
5202 "F" "F5" 2972 2986
5296 "F" "F5" 2958 3254
5298 "M" "F5" 2958 3254
5305 "F" "F5" 2958 3254
5345 "F" "F5" 2985 3064
5348 "F" "F5" 2985 3064
5350 "M" "F5" 2985 3064
5432 "M" "F5" 3069 3074
5434 "F" "F5" 3069 3074
5436 "M" "F5" 3069 3074
5496 "F" "F5" 3320 2976
5503 "M" "F5" 3320 2976
5507 "M" "F5" 3333 3378
5510 "F" "F5" 3333 3378
5525 "F" "F5" 3274 2960
5528 "M" "F5" 3274 2960
5530 "M" "F5" 3274 2960
5570 "F" "F5" 3379 3345
5571 "M" "F5" 3379 3345
5572 "M" "F5" 3379 3345
5580 "F" "F5" 3394 3387
5581 "M" "F5" 3394 3387
5588 "F" "F5" 3384 2782
5589 "M" "F5" 3384 2782
5591 "F" "F5" 3384 2782
5601 "M" "F5" 2720 2676
5612 "F" "F5" 3337 3055
5617 "M" "F5" 2780 3475
5619 "M" "F5" 2780 3475
5621 "F" "F5" 2780 3475
5627 "F" "F5" 3483 3329
5637 "F" "F5" 3511 3269
5644 "M" "F5" 3511 3269
5646 "M" "F5" 3511 3269
5657 "F" "F5" 3518 3504
5658 "M" "F5" 3518 3504
5676 "M" "F5" 3528 3512
5689 "M" "F5" 3795 3818
5690 "F" "F5" 3795 3818
5706 "M" "F5" 3217 3529
5707 "F" "F5" 3217 3529
5741 "M" "F5" 3485 3661
5747 "F" "F5" 3485 3661
5750 "M" "F5" 3485 3661
5757 "M" "F5" 3744 3225
5761 "F" "F5" 3744 3225
5765 "M" "F5" 3257 3667
5776 "M" "F5" 3756 3494
5783 "M" "F5" 3403 3762
5784 "M" "F5" 3403 3762
5785 "M" "F5" 3746 3777
5788 "F" "F5" 3746 3777
5792 "F" "F5" 3746 3777
5814 "F" "F5" 3505 3803
5817 "F" "F5" 3505 3803
5822 "F" "F5" 3209 3645
5823 "M" "F5" 3209 3645
5829 "F" "F5" 3209 3645
5832 "M" "F5" 3080 3617
5835 "F" "F5" 3080 3617
5843 "F" "F5" 3610 3743
5844 "M" "F5" 3610 3743
5867 "M" "F5" 3059 3835
5870 "F" "F5" 3059 3835
5880 "F" "F5" 3270 3605
5883 "M" "F5" 3270 3605
5939 "M" "F5" 3838 3281
5941 "F" "F5" 3838 3281
5958 "F" "F5" 3235 3941
5961 "M" "F5" 3235 3941
6020 "M" "F5" 3948 3207
6024 "F" "F5" 3948 3207
6028 "F" "F5" 3948 3207
6046 "F" "F5" 3304 4043
6051 "F" "F5" 3304 4043
6053 "F" "F5" 3775 4044
6058 "M" "F5" 3775 4044
6062 "M" "F5" 4041 3414
6070 "F" "F5" 4041 3414
6094 "F" "F5" 4025 3400
6096 "M" "F5" 4025 3400
6110 "M" "F5" 4014 3680
6117 "F" "F5" 4014 3680
6122 "F" "F5" 3409 4058
6126 "F" "F5" 3409 4058
6130 "M" "F5" 3409 4058
6158 "M" "F5" 3869 3293
6166 "M" "F5" 3869 3293
6169 "F" "F5" 3869 3293
6176 "F" "F5" 4054 4110
6201 "F" "F5" 3672 4208
6231 "M" "F5" 4187 4350
6233 "M" "F5" 4187 4350
6236 "F" "F5" 4274 4295
6238 "M" "F5" 4274 4295
6239 "F" "F5" 4274 4295
6261 "F" "F5" 4333 4078
6265 "M" "F5" 4333 4078
6282 "M" "F5" 3765 4109
6291 "M" "F5" 3950 4143
6292 "M" "F5" 3950 4143
6293 "F" "F5" 3950 4143
6303 "F" "F5" 2785 4100
6327 "M" "F5" 3606 4243
6333 "F" "F5" 4138 4256
6341 "M" "F5" 4138 4256
6344 "M" "F5" 4138 4256
6346 "M" "F5" 4258 3867
6347 "F" "F5" 4258 3867
6349 "F" "F5" 4258 3867
6378 "M" "F5" 4104 3488
6387 "F" "F5" 4080 3526
6388 "M" "F5" 4080 3526
6394 "F" "F5" 4165 3759
6398 "M" "F5" 4165 3759
6403 "F" "F5" 4071 4302
6405 "M" "F5" 4071 4302
6406 "M" "F5" 4071 4302
6414 "M" "F5" 3632 4180
6418 "F" "F5" 4046 4331
6424 "M" "F5" 4046 4331
6433 "F" "F5" 4346 4139
6435 "M" "F5" 4346 4139
6441 "F" "F5" 4082 4026
6458 "F" "F5" 3636 4020
6462 "M" "F5" 3636 4020
6475 "F" "F5" 4264 4424
6481 "F" "F5" 4264 4424
6495 "M" "F5" 4419 4267
6505 "F" "F5" 4306 3747
6507 "F" "F5" 4306 3747
6550 "F" "F5" 3496 4157
6554 "M" "F5" 3496 4157
6605 "M" "F5" 3872 3628
6606 "F" "F5" 3872 3628
6740 "M" "F6" 4887 4831
6741 "F" "F6" 4887 4831
6745 "F" "F6" 4887 4831
6751 "F" "F6" 4909 4826
6752 "M" "F6" 4909 4826
6755 "M" "F6" 4909 4826
6876 "F" "F6" 4589 4900
6881 "M" "F6" 4589 4900
6891 "M" "F6" 4970 4917
6892 "F" "F6" 4970 4917
6943 "M" "F6" 4573 4715
6945 "M" "F6" 4573 4715
6954 "M" "F6" 4688 4585
6957 "F" "F6" 4688 4585
6959 "F" "F6" 4688 4585
6981 "F" "F6" 4823 4691
6989 "M" "F6" 5058 4833
6990 "F" "F6" 5058 4833
6999 "M" "F6" 5066 5060
7004 "F" "F6" 5066 5060
7006 "M" "F6" 5084 4921
7014 "M" "F6" 5113 4590
7015 "M" "F6" 5113 4590
7024 "F" "F6" 5006 5135
7027 "M" "F6" 5006 5135
7028 "F" "F6" 5006 5135
7073 "M" "F6" 5056 5305
7074 "M" "F6" 5056 5305
7082 "F" "F6" 5056 5305
7117 "M" "F6" 5196 5434
7136 "F" "F6" 5507 4639
7146 "M" "F6" 5507 4639
7210 "F" "F6" 4716 5018
7216 "M" "F6" 4716 5018
7222 "F" "F6" 5050 4889
7227 "F" "F6" 4976 5111
7228 "F" "F6" 4976 5111
7235 "M" "F6" 4976 5111
7319 "M" "F6" 4828 5007
7348 "M" "F6" 4640 5070
7354 "F" "F6" 4640 5070
7366 "M" "F6" 4939 5510
