id	glu.age	glu.weight	glucose	rip.age	rip.weight	tail	wild	brain
50487	75	23.8	63	82	24	7.4	1	n
50490	74	27.3	98	81	27.8	8.1	0	n
50491	74	20.1	74	81	21.9	7.6	0	n
50494	74	26.8	76	81	27.8	7.9	0	n
50496	75	30.3	125	82	30.6	8.2	1	n
50497	74	27.3	106	81	30.4	N/A	0	n
50500	74	24.9	31	81	27.5	8.4	5	y
50701	75	23.6	86	82	24.1	8	0	y
50703	74	21.7	75	81	23.3	8	0	n
50704	75	25.4	99	82	27.7	8.1	0	n
50707	75	22.1	81	82	22.8	8	8	n
50708	76	31.5	121	83	33.4	8.2	0	y
50712	74	25.2	75	81	27.7	7.5	0	n
50715	76	20.4	46	83	21.3	7.5	0	n
50716	74	40.5	131	81	44.3	7.8	0	n
50719	74	22.9	77	81	24.6	8.3	0	n
50722	75	29.4	110	82	31.6	8.3	0	n
50723	74	26.8	120	81	27.6	7.9	0	y
50728	74	27	69	81	28	8	0	n
50729	75	20.2	66	82	20.9	7.5	9	y
50731	74	21.3	75	81	22.1	7.6	0	n
50735	73	20.2	79	80	21	7.5	0	n
50736	73	26.9	107	80	28.3	7.9	0	n
50740	73	28.4	108	80	31.9	8.4	0	y
50741	73	20.1	97	80	21	7.9	0	n
50744	73	34.1	124	81	36.8	7.3	0	n
50745	73	23.5	91	80	24.1	7.8	0	n
50746	73	24.3	49	81	26.5	8.2	0	n
50749	73	21.4	91	80	22.9	7.9	0	y
50752	73	35.4	98	81	37.2	8.3	0	y
50753	73	21.1	85	80	21.6	7.7	0	n
50755	73	21.6	48	80	22.7	7.7	0	n
50756	73	28.6	81	81	32.8	8	0	n
50760	73	37.9	102	81	38.4	8.7	0	n
50763	73	29.5	91	81	30	8.3	0	y
50764	73	32.8	91	81	32.7	8.2	0	n
50767	73	24.6	85	81	25.8	8.5	0	n
50770	73	26.3	72	81	25.4	7.8	0	n
50771	73	23	109	81	24	7.5	0	n
50774	73	26.8	67	81	27.9	8	0	y
50775	73	20.9	122	81	20.9	7.6	0	n
50778	73	27.6	115	81	30.6	8.2	0	y
50779	73	22.6	88	81	24.3	8.3	9	n
50784	73	29.6	95	81	31.2	8	0	n
50787	73	20.6	91	81	21.6	7.7	0	y
50788	73	29.9	72	81	32.8	8.1	0	n
50792	73	21	83	81	22	8	0	n
50793	73	22.8	99	81	22.7	7.6	0	y
50794	73	26.6	75	81	28.9	8	0	n
50795	73	24.8	72	81	26.4	8.7	0	n
50797	72	24.9	97	80	25.6	7.7	0	n
50798	72	31.7	150	80	32.9	8.2	0	n
50799	72	19	63	80	19.4	8	0	n
51201	78	24.7	92	86	26.4	8.3	0	n
51202	76	29.2	104	84	29.8	7.9	0	y
51204	78	32.6	165	86	33.3	8.7	5	n
51205	77	22.6	78	85	24.5	8.4	0	y
51209	77	31.3	91	85	32.2	8.5	0	n
51210	77	32.1	137	85	33.5	8.2	0	n
51211	76	17.4	51	84	18.7	7	0	n
51216	77	39	127	85	40.2	9.1	0	n
51219	76	25.9	74	84	26.5	7.9	0	n
51220	76	20.9	81	84	22.6	8	0	n
51221	77	22.8	84	85	23.7	7.5	2	y
51223	76	18.9	83	84	18.6	7.3	1	n
51224	76	31.7	72	84	33.6	8.6	1	y
51228	77	35.9	136	85	37.4	8.8	0	n
51229	76	21.4	65	84	22.3	8.1	0	n
51233	75	24.7	82	83	26.4	8.6	0	n
51234	76	25.1	70	84	26.6	8.5	0	n
51236	76	35.7	136	84	37.4	9.1	0	n
51239	76	22.2	84	84	22.8	8	0	n
51240	75	31.9	94	83	34.5	8.2	0	y
51241	75	28.2	98	83	28.2	8.3	0	y
51243	75	22.5	85	83	23.1	7.9	0	n
51244	76	30.5	94	84	32.9	8.5	4	n
51245	76	23.2	147	84	26.5	8.5	0	n
51247	75	16.7	47	83	16.9	7.4	0	n
51250	75	39.4	132	83	40.6	8.6	0	n
51254	76	29	140	84	31.2	8	0	y
51257	77	28.4	94	85	28.4	8.2	0	n
51258	75	28	66	83	31	8.2	0	y
51259	75	19.7	71	83	21	7.9	0	y
51262	77	30	118	85	31.8	8.6	0	n
51263	74	25.7	74	82	27	8.1	0	y
