id,gen,cage,fam,dam,sire,sex,ppi.weight,ppi.age,
49024,51,Test.F51-28,BrF50-70,46037,46440,M,27.4,67,
49025,51,Test.F51-31,BrF50-52,46216,46066,F,20.8,66,
49026,51,Test.F51-28,BrF50-36,46188,46031,M,25.9,67,
49027,51,Test.F51-31,BrF50-71,46065,46468,F,21.3,66,
49028,51,Test.F51-30,BrF50-52,46216,46066,M,33.8,66,
49031,51,Test.F51-31,BrF50-46,46168,46362,F,23.2,66,
49032,51,Test.F51-30,BrF50-71,46065,46468,M,30.1,66,
49035,51,Test.F51-31,BrF50-68,46363,46204,F,19.4,66,
49036,51,Test.F51-30,BrF50-46,46168,46362,M,34.7,66,
49040,51,Test.F51-30,BrF50-68,46363,46204,M,28,66,
49041,51,Test.F51-33,BrF50-53,46223,46342,F,19.7,66,
49045,51,Test.F51-33,BrF50-51,46162,46194,F,27.1,66,
49048,51,Test.F51-32,BrF50-53,46223,46342,M,26.7,66,
49052,51,Test.F51-32,BrF50-51,46162,46194,M,25.4,66,
49055,51,Test.F51-33,BrF50-30,46096,46085,F,37.4,70,
49056,51,Test.F51-32,BrF50-30,46096,46085,M,32.3,70,
49210,51,Test.F51-42,BrF50-76,26578,46500,M,27.4,65,
49211,51,Test.F51-43,BrF50-76,26578,46500,F,21.6,65,
49213,51,Test.F51-43,BrF50-77,46165,46492,F,23.2,64,
49214,51,Test.F51-42,BrF50-77,46165,46492,M,24.2,64,
49217,51,Test.F51-43,BrF50-78,46166,46394,F,21.8,64,
49218,51,Test.F51-42,BrF50-78,46166,46394,M,27.1,64,
49221,51,Test.F51-43,BrF50-79,46183,46460,F,20.4,64,
49222,51,Test.F51-42,BrF50-79,46183,46460,M,27,64,
49226,51,Test.F51-44,BrF50-87,46449,46444,M,27.2,65,
49229,51,Test.F51-45,BrF50-87,46449,46444,F,20.3,65,
49230,51,Test.F51-44,BrF50-81,46195,46456,M,22.2,65,
49231,51,Test.F51-45,BrF50-81,46195,46456,F,25.5,65,
49233,51,Test.F51-45,BrF50-82,46203,46396,F,21.8,64,
49234,51,Test.F51-44,BrF50-82,46203,46396,M,24.9,64,
49237,51,Test.F51-45,BrF50-84,46435,46060,F,26.6,63,
49238,51,Test.F51-44,BrF50-84,46435,46060,M,28.1,63,
49240,51,Test.F51-46,BrF50-85,46439,46178,M,26.3,64,
49243,51,Test.F51-47,BrF50-85,46439,46178,F,18.4,64,
49245,51,Test.F51-47,BrF50-86,46443,46190,F,21.6,63,
49246,51,Test.F51-46,BrF50-86,46443,46190,M,26.6,63,
49249,51,Test.F51-47,BrF50-72,46032,46390,F,23.9,63,
49251,51,Test.F51-47,BrF50-73,46039,46464,F,20.3,64,
49254,51,Test.F51-46,BrF50-73,46039,46464,M,24.6,64,
49255,51,Test.F51-49,BrF50-82,46203,46396,F,24,64,
49258,51,Test.F51-48,BrF50-82,46203,46396,M,23.3,64,
49259,51,Test.F51-49,BrF50-93,46391,46181,F,21.5,63,
49262,51,Test.F51-48,BrF50-93,46391,46181,M,24.9,63,
49263,51,Test.F51-49,BrF50-96,46471,46021,F,21.4,63,
49266,51,Test.F51-48,BrF50-96,46471,46021,M,22.7,63,
49267,51,Test.F51-49,BrF50-99,46395,46646,F,23.6,64,
49270,51,Test.F51-48,BrF50-99,46395,46646,M,27.8,64,
49274,51,Test.F51-50,BrF50-100,46481,46432,M,30.8,64,
49278,51,Test.F51-50,BrF50-105,46321,46306,M,26.9,63,
49282,51,Test.F51-50,BrF50-104,46647,46452,M,29.3,63,
49286,51,Test.F51-52,BrF50-97,46475,46488,M,27.1,62,
49287,51,Test.F51-53,BrF50-97,46475,46488,F,17.7,62,
49289,51,Test.F51-53,BrF50-101,46489,46477,F,20,61,
49293,51,Test.F51-53,BrF50-94,46399,46480,F,22.5,61,
49294,51,Test.F51-52,BrF50-94,46399,46480,M,27,61,
49297,51,Test.F51-53,BrF50-102,46485,46193,F,20.9,62,
49298,51,Test.F51-52,BrF50-102,46485,46193,M,29.2,62,
49383,53,Test.F53-19,BrF52-35,50177,50136,F,19.6,63,
49401,51,Test.F51-55,BrF50-95,46453,46109,F,21.7,62,
49404,51,Test.F51-54,BrF50-95,46453,46109,M,32.4,62,
49405,51,Test.F51-55,BrF50-103,46643,46119,F,20.5,62,
49408,51,Test.F51-54,BrF50-103,46643,46119,M,34.8,62,
49409,51,Test.F51-55,BrF50-89,46463,46302,F,20.6,59,
49414,51,Test.F51-56,BrF50-98,46499,46042,M,25.2,75,
49416,51,Test.F51-54,BrF50-89,46463,46302,M,25.7,59,
49417,51,Test.F51-57,BrF50-98,46499,46042,F,20.7,75,
49424,51,Test.F51-56,BrF50-83,46431,46220,M,32.6,83,
49426,51,Test.F51-57,BrF50-72,46032,46390,F,19.9,66,
49427,52,Test.F52-01,BrF51-7,48385,48368,F,24.4,64,
49430,52,Test.F52-02,BrF51-7,48385,48368,M,36.9,64,
49431,52,Test.F52-01,BrF51-2,48333,48448,F,20.1,64,
49432,52,Test.F52-02,BrF51-2,48333,48448,M,28.6,64,
49435,52,Test.F52-01,BrF51-9,48359,48350,F,19.6,64,
49436,52,Test.F52-02,BrF51-9,48359,48350,M,25,64,
49439,52,Test.F52-01,BrF51-12,48312,48484,F,22.8,64,
49440,52,Test.F52-02,BrF51-12,48312,48484,M,31.6,64,
49447,51,Test.F51-59,BrF50-27,26579,46062,F,27.7,64,
49448,51,Test.F51-58,BrF50-27,26579,46062,M,33.3,64,
49451,51,Test.F51-59,BrF50-75,46113,46448,F,26.5,64,
49452,51,Test.F51-58,BrF50-75,46113,46448,M,37.4,64,
49453,51,Test.F51-59,BrF50-88,46459,46484,F,25.7,64,
49456,51,Test.F51-58,BrF50-88,46459,46484,M,26.4,64,
49461,52,Test.F52-03,BrF51-01,48415,48430,F,21.9,63,
49462,52,Test.F52-04,BrF51-01,48415,48430,M,35.5,63,
49466,52,Test.F52-04,BrF51-03,48303,49006,M,30.3,63,
49467,52,Test.F52-03,BrF51-03,48303,49006,F,18.2,63,
49470,52,Test.F52-04,BrF51-04,48309,49018,M,30.4,62,
49471,52,Test.F52-03,BrF51-04,48309,49018,F,21.1,62,
49472,52,Test.F52-04,BrF51-05,48413,49072,M,23.2,63,
49475,52,Test.F52-03,BrF51-05,48413,49072,F,19.4,63,
49476,52,Test.F52-06,BrF51-06,48327,48307,M,29.7,63,
49479,52,Test.F52-05,BrF51-06,48327,48307,F,19.7,63,
49482,52,Test.F52-06,BrF51-11,48336,48462,M,30.9,62,
49485,52,Test.F52-05,BrF51-11,48336,48462,F,20.6,62,
49486,52,Test.F52-06,BrF51-21,48405,49030,M,28.5,62,
49487,52,Test.F52-05,BrF51-21,48405,49030,F,21.9,62,
49490,52,Test.F52-06,BrF51-17,48421,48310,M,18.5,62,
49494,52,Test.F52-08,BrF51-15,48319,49050,M,30,62,
49497,52,Test.F52-05,BrF51-17,48421,48310,F,16.5,62,
49498,52,Test.F52-08,BrF51-14,48339,49046,M,26.1,64,
49499,52,Test.F52-07,BrF51-15,48319,49050,F,20.2,62,
50076,53,Test.F53-16,BrF52-33,50339,49460,M,26.8,67,
50078,53,Test.F53-18,BrF52-03,49429,50196,M,25,66,
50085,53,Test.F53-17,BrF52-29,50233,50110,F,20,66,
50086,53,Test.F53-18,BrF52-20,50139,50222,M,31.9,66,
50092,53,Test.F53-18,BrF52-26,50199,50130,M,25.7,67,
50094,53,Test.F53-20,BrF52-34,50173,49478,M,26.1,60,
50095,53,Test.F53-17,BrF52-26,50199,50130,F,23.7,67,
50099,53,Test.F53-19,BrF52-34,50173,49478,F,20.9,60,
50100,53,Test.F53-20,BrF52-35,50177,50136,M,30.9,63,
50102,52,Test.F52-08,BrF51-20,48341,48454,M,26.7,64,
50103,52,Test.F52-07,BrF51-14,48339,49046,F,19.6,64,
50106,52,Test.F52-08,BrF51-16,48349,48308,M,24.5,63,
50107,52,Test.F52-07,BrF51-20,48341,48454,F,21.5,64,
50112,52,Test.F52-10,BrF51-19,48357,47718,M,21.5,63,
50114,52,Test.F52-10,BrF51-08,48320,48388,M,22.9,62,
50115,52,Test.F52-07,BrF51-16,48349,48308,F,17.9,63,
50118,52,Test.F52-10,BrF51-18,48371,48321,M,29.1,64,
50119,52,Test.F52-09,BrF51-08,48320,48388,F,15,62,
50121,52,Test.F52-09,BrF51-18,48371,48321,F,23.6,64,
50125,52,Test.F52-09,BrF51-19,48357,47718,F,17.3,63,
50129,52,Test.F52-11,BrF51-25,48438,48315,F,25.1,64,
50131,52,Test.F52-11,BrF51-23,48427,48354,F,17.7,63,
50132,52,Test.F52-10,BrF51-25,48438,48315,M,29.2,64,
50134,52,Test.F52-12,BrF51-23,48427,48354,M,24.2,63,
50137,52,Test.F52-11,BrF51-24,48431,49038,F,22.2,63,
50140,52,Test.F52-12,BrF51-24,48431,49038,M,29.6,63,
50143,52,Test.F52-11,BrF51-22,48429,48334,F,23.2,62,
50146,52,Test.F52-12,BrF51-22,48429,48334,M,33.8,62,
50147,52,Test.F52-09,BrF51-10,48335,48458,F,26.3,54,
50148,52,Test.F52-12,BrF51-10,48335,48458,M,32.9,54,
50150,51,Test.F52-14,BrF50-90,46166,46394,M,33.7,68,
50151,51,Test.F52-13,BrF50-90,46166,46394,F,33.8,68,
50152,52,Test.F52-14,BrF51-58,49069,48424,M,32.4,68,
50153,52,Test.F52-13,BrF51-58,49069,48424,F,23.2,68,
50156,52,Test.F52-14,BrF51-36,48453,48372,M,39.3,68,
50158,52,Test.F52-14,BrF51-55,49053,48318,M,27.9,68,
50159,52,Test.F52-13,BrF51-36,48453,48372,F,19.5,68,
50163,52,Test.F52-13,BrF51-55,49053,48318,F,20.3,68,
50164,52,Test.F52-16,BrF51-54,49023,48414,M,28.2,68,
50168,52,Test.F52-16,BrF51-39,48459,48446,M,24.4,68,
50172,52,Test.F52-16,BrF51-43,48497,48378,M,31.7,67,
50182,52,Test.F52-16,BrF51-42,48469,49010,M,25.4,67,
50185,52,Test.F52-17,BrF51-44,48483,49044,F,22.4,67,
50186,52,Test.F52-18,BrF51-44,48483,49044,M,30.2,67,
50189,52,Test.F52-17,BrF51-10,48335,48458,F,25.4,65,
50190,52,Test.F52-18,BrF51-64,49201,49060,M,34.1,67,
50191,52,Test.F52-17,BrF51-64,49201,49060,F,24.3,67,
50194,52,Test.F52-18,BrF51-59,49067,48428,M,28.4,67,
50195,52,Test.F52-17,BrF51-59,49067,48428,F,18.4,67,
50198,52,Test.F52-18,BrF51-62,49091,48410,M,21.5,67,
50201,52,Test.F52-19,BrF51-65,49205,49054,F,20.8,66,
50202,52,Test.F52-20,BrF51-65,49205,49054,M,27,66,
50205,52,Test.F52-19,BrF51-33,48440,49076,F,21.2,66,
50206,52,Test.F52-20,BrF51-33,48440,49076,M,24.5,66,
50210,52,Test.F52-20,BrF51-34,49017,48404,M,22.1,66,
50211,52,Test.F52-19,BrF51-47,49017,48404,F,19.7,67,
50216,52,Test.F52-20,BrF51-47,49017,48404,M,27,67,
50217,52,Test.F52-19,BrF51-62,49091,48410,F,19.4,67,
50220,52,Test.F52-22,BrF51-63,49085,48460,M,29.1,66,
50223,52,Test.F52-21,BrF51-48,49013,48466,F,20.7,66,
50225,52,Test.F52-21,BrF51-56,49049,49500,F,17.1,66,
50226,52,Test.F52-22,BrF51-48,49013,48466,M,23.7,66,
50230,52,Test.F52-22,BrF51-56,49049,49500,M,26.6,66,
50234,52,Test.F52-24,BrF51-49,49005,49034,M,22,66,
50235,52,Test.F52-23,BrF51-49,49005,49034,F,18.6,66,
50237,52,Test.F52-23,BrF51-32,48437,48422,F,21,67,
50238,52,Test.F52-23,BrF51-61,49079,48386,F,19.9,66,
50241,52,Test.F52-23,BrF51-50,48039,48364,F,21,66,
50242,52,Test.F52-24,BrF51-50,48039,48364,M,32.2,66,
