id	tissue	samp.id	lib.name	index	rin	con.RNA	lib.size	con.cDNA	sex	age																		
49267	pfc	pfc49267	AIL_RNA2b	8	9.2	261.80	294	18.01																				
50216	pfc	pfc50216	AIL_RNA3a	9	9.4	259.28	284	5.91																				
50195	pfc	pfc50195	AIL_RNA2a	10	9.1	258.92	309	14.25																				
51811	pfc	pfc51811	AIL_RNA2b	11	9.2	257.45	283	13.02																				
51335	pfc	pfc51335	AIL_RNA2a	12	9.6	256.28	298	26.88																				
51396	pfc	pfc51396	AIL_RNA2b	13	9.1	255.90	298	28.63																				
50131	pfc	pfc50131	AIL_RNA2a	14	9.2	252.86	312	23.71																				
51699	pfc	pfc51699	AIL_RNA2a	15	9.3	251.29	309	19.95																				
46479	pfc	pfc46479	AIL_RNA2a	16	9.1	251.03	291	12.70																				
51328	pfc	pfc51328	AIL_RNA2d	18	9.7	250.61	304	5.70																				
51313	pfc	pfc51313	AIL_RNA2d	19	9.5	246.42	327	2.27																				
50146	pfc	pfc50146	AIL_RNA2d	20	9.4	246.22	311	13.46																				
51682	pfc	pfc51682	AIL_RNA3a	21	9.2	241.21	305	6.21																				
46474	pfc	pfc46474	AIL_RNA2c	22	9.1	239.30	327	4.51																				
46128	pfc	pfc46128	AIL_RNA3a	23	9.7	238.99	288	5.42																				
46451	pfc	pfc46451	AIL_RNA2c	25	9.1	234.25	289	3.64																				
54104	pfc	pfc54104	AIL_RNA3a	27	9.0	232.96	280	2.52																				
51734	pfc	pfc51734	AIL_RNA3d	1	9.1	232.59	309	8.15																				
51351	pfc	pfc51351	AIL_RNA3b	2	10.0	232.24	266	7.98																				
50288	pfc	pfc50288	AIL_RNA6a	3	9.4	229.86	284	11.41																				
50217	pfc	pfc50217	AIL_RNA4b	4	9.2	228.18	290	17.50																				
51388	pfc	pfc51388	AIL_RNA6a	5	9.6	227.11	300	4.93																				
51346	pfc	pfc51346	AIL_RNA3c	6	9.3	221.48	285	16.67																				
51949	pfc	pfc51949	AIL_RNA3d	7	9.3	216.82	277	7.06																				
54260	pfc	pfc54260	AIL_RNA3c	8	9.5	213.41	292	17.28																				
50255	pfc	pfc50255	AIL_RNA3b	9	9.8	198.62	281	18.16																				
26581	pfc	pfc26581	AIL_RNA3d	10	9.3	190.15	277	19.07																				
45497	pfc	pfc45497	AIL_RNA3b	11	9.1	183.53	273	20.08																				
50220	pfc	pfc50220	AIL_RNA3a	12	9.8	183.31	275	14.71																				
50237	pfc	pfc50237	AIL_RNA3b	13	9.6	177.59	267	22.17																				
51463	pfc	pfc51463	AIL_RNA3b	14	9.3	171.39	273	11.87																				
